Type,name,ISO,agentName,Ratified,totalArea,landArea,waterArea,arableLandArea,GDP,GDPRate,availableToSpend,emissionsTarget,carbonOffset,energyOutput,carbonOutput
Group 1/2,Australia,AUS,EU,39419,7692024,7682300,58920,468503,3.00893E+11,0,0,305994,0,423248,0
Group 3,"China, People's Republic of",CHN,NonAnnexOne,37498,9596961,9569901,27060,1385905,3.97467E+11,0,0,3259619,0,8094626,0
Group 1/2,Greece,GRC,EU,37407,131957,130647,1310,26749,87699269263,0,0,76905,0,105441,0
Group 1/2,United Kingdom,GBR,EU,37407,242900,241930,1680,56121,9.13427E+11,0,0,629017,0,579899,0
Group 4,United States of America,USA,US,,9526468,9161966,664709,1650062,5.7223E+12,0,0,5644979,0,6427148,0
