Type,name,ISO,agentName,Ratified,totalArea,landArea,waterArea,arableLandArea,GDP,GDPRate,availableToSpend,emissionsTarget,carbonOffset,energyOutput,carbonOutput
Group 3,"Tanzania, United Republic of",TZA,NonParticipant,37494,945087,885800,61500,37479,5149947464,0,0,0,0,0,
Group 3,Thailand,THA,NonParticipant,37496,513120,510890,2230,140941,73909158608,0,0,150114,0,355410,
Group 3,Togo,TGO,NonParticipant,38170,56785,54385,2400,24038,1451116743,0,0,5139,0,9902,
Group 3,Tonga,TON,NonParticipant,39461,747,717,30,144,136258528,0,0,0,0,0,
Group 3,Trinidad and Tobago,TTO,NonParticipant,36188,5130,5128,0,750,4932705067,0,0,17099,0,49802,
Group 3,Tunisia,TUN,NonParticipant,37643,163610,155360,8250,26489,12253707454,0,0,15246,0,28966,
Group 1/2,Turkey,TUR,NonParticipant,39961,783562,769632,13930,229764,1.89E+11,0,0,184309,0,313600,
Group 3,Turkmenistan,TKM,NonParticipant,36171,488100,469930,18170,22013,3067647683,0,0,0,0,47572,
Group 3,Tuvalu,TUV,NonParticipant,36115,26,26,0,0,8595396,0,0,0,0,0,
Group 3,Uganda,UGA,NonParticipant,37340,241550,197100,43938,43077,3701106237,0,0,0,0,0,
Group 1/2,Ukraine,UKR,NonParticipant,38089,603500,579330,24220,324791,79060690367,0,0,0,0,395641,
Group 3,United Arab Emirates,ARE,NonParticipant,38378,83600,83600,0,638,51745329897,0,0,52009,0,155111,
Group 1/2,United Kingdom,GBR,NonParticipant,37407,242900,241930,1680,56121,9.13E+11,0,0,629017,0,579899,
Group 4,United States of America,USA,USAgent,,9526468,9161966,664709,1650062,5.72E+12,0,0,5644979,0,6427148,
Group 3,Uruguay,URY,NonParticipant,36927,176215,175015,1200,13490,8506500261,0,0,6806,0,12884,
Group 3,Uzbekistan,UZB,NonParticipant,36445,447400,425400,22000,44710,14866517593,0,0,0,0,127351,
Group 3,Vanuatu,VUT,NonParticipant,37089,12189,12189,0,200,165989295,0,0,0,0,0,
Group 3,"Venezuela, Bolivarian Republic of",VEN,NonParticipant,38401,912050,882050,30000,25138,47199905363,0,0,133557,0,192877,
Group 3,Vietnam,VNM,NonParticipant,37524,331212,310070,21140,65528,6471744896,0,0,105382,0,237006,
Group 3,Yemen,YEM,NonParticipant,38245,527968,527968,0,15364,4549583068,0,0,0,0,23705,
Group 3,Zambia,ZMB,NonParticipant,38905,752612,743398,9220,51777,3305683307,0,0,15646,0,25507,
Group 3,Zimbabwe,ZWE,NonParticipant,39994,390757,386847,3910,31862,10766770588,0,0,34605,0,34793,
