className,name,ISO,landArea,arableLandArea,GDP,GDPRate,energyOutput,carbonOutput,carbonOutput1990
AnnexOneReduce,Australia,AUS,7682300,468503,360291363100,0.0555,369530526,346913000,287331000
AnnexOneReduce,Austria,AUT,82445,13677,190802055800,0.0341,80986801,63549000,60960000
