className,name,ISO,landArea,arableLandArea,GDP,GDPRate,energyOutput,carbonOutput,carbonOutput1990
AnnexOneSustain,Belarus,BLR,202900,55575,13459157442,0.0684,60231120,57598000,87487000
AnnexOneSustain,Romania,ROU,229891,90961,37374180233,-0.0523,103681000,103681000,158862000
AnnexOneSustain,Russia,RUS,16377742,1218599,2.41602E+11,-0.0481,1571812255,1511270000,2220721000
AnnexOneSustain,Ukraine,UKR,579330,324791,35917739713,-0.0342,357907735,328637000,641681000
