className,name,ISO,landArea,arableLandArea,GDP,GDPRate,energyOutput,carbonOutput,carbonOutput1990
NonAnnexOne,Albania,ALB,27398,5507,2550.868201,0.0527,3989932,1753000,7488000
NonAnnexOne,Algeria,DZA,2381741,75501,45557.27708,0.0541,107487542,107080000,78896000
NonAnnexOne,Angola,AGO,1246700,33038,6353.998396,0.0758,33838055,7308000,4430000
NonAnnexOne,Antigua and Barbuda,ATG,443,80,566.962963,0.0597,116099092,334000,301000
NonAnnexOne,Argentina,ARG,2736690,274490,279670.035,0.0452,158530163,137674000,112614000
NonAnnexOne,Armenia,ARM,28203,4766,1751.787925,0.0516,4693393,3407000,3682000
AnnexOneReduce,Australia,AUS,7682300,468503,360291.3631,0.0555,369530526,346913000,287331000
AnnexOneReduce,Austria,AUT,82445,13677,190802.0558,0.0341,80986801,63549000,60960000
NonAnnexOne,Azerbaijan,AZE,82629,17754,4288.293285,0.0502,32114972,31595000,44173000
NonAnnexOne,Bahamas,BHS,10010,58,5271.222913,0.0755,1774947702,1793000,1951000
NonAnnexOne,Bahrain,BHR,760,19,6892.190977,0.0701,18405000,18405000,11885000
NonAnnexOne,Bangladesh,BGD,130168,74173,41059.35919,0.0534,41741221,24041000,15533000
NonAnnexOne,Barbados,BRB,431,160,2265.05,0.0618,741102,1140000,1074000
AnnexOneSustain,Belarus,BLR,202900,55575,13459.15744,0.0684,63086899,57598000,87487000
AnnexOneReduce,Belgium,BEL,30278,8302,228172.4625,0.017,154229330,119185000,108470000
NonAnnexOne,Belize,BLZ,22806,696,604.2,0.0341,113620,370000,312000
NonAnnexOne,Benin,BEN,110622,26029,2302.980052,0.0377,7004993,1214000,715000
NonAnnexOne,Bhutan,BTN,38394,1081,357.347686,0.0648,341089,385000,128000
NonAnnexOne,Bolivia,BOL,1083301,30146,7688.192379,0.0479,12679472,10326000,5504000
NonAnnexOne,Bosnia and Herzegovina,BIH,51187,10026,3472.692887,0.1637,18914323,16226000,3938000
NonAnnexOne,Botswana,BWA,566730,3805,5181.264021,0.1042,5910732,3832000,2178000
NonAnnexOne,Brazil,BRA,8459417,586036,746216.7713,0.0002,547806720,314013000,208887000
NonAnnexOne,Brunei,BRN,5265,110,4050.545679,-0.0058,5984997,5985000,6421000
AnnexOneSustain,Bulgaria,BGR,108489,33099,11527.83423,0.0526,66985252,50993000,77729000
NonAnnexOne,Burkina Faso,BFA,273800,48353,2608.266814,0.0781,180090,862000,587000
NonAnnexOne,Burundi,BDI,25680,9124,1150.043586,0.0382,149261,301000,304000
NonAnnexOne,Cambodia,KHM,176515,36081,3004.660731,0.0528,11549503,2233000,451000
NonAnnexOne,Cameroon,CMR,472710,58868,9153.580048,0.0489,19614592,3209000,1738000
CanadaAgent,Canada,CAN,9093507,415573,570647.1631,0.0385,624237946,478881000,450077000
NonAnnexOne,Cape Verde,CPV,4033,460,498.531194,0.0678,85636,154000,88000
NonAnnexOne,Central African Republic,CAF,622984,19313,925.029532,0.0489,242874502,249000,198000
NonAnnexOne,Chad,TCD,1259200,35258,1680.363347,0.0657,3856544,114000,147000
NonAnnexOne,Chile,CHL,743812,19619,74507.12652,0.0308,76584494,58987000,34903000
NonAnnexOne,China,CHN,9569901,1385905,1019481.297,0.0772,4200252852,3324345000,2460744000
NonAnnexOne,Colombia,COL,1038700,20878,114462.5958,0.0051,88008001,65977000,57337000
NonAnnexOne,Comoros,COM,1862,778,220.721098,0.008,62615925,73000,77000
NonAnnexOne,Congo-Brazzaville,COG,341500,4952,1862.52512,0.0331,4156900,777000,1188000
NonAnnexOne,Congo-Kinshasa,COD,2267048,64853,6159.656672,-0.0201,45114388,2534000,4070000
