className,name,ISO,landArea,arableLandArea,GDP,GDPRate,energyOutput,carbonOutput,carbonOutput1990
AnnexOneReduce,Australia,AUS,7682300,468503,360291363100,0.0555,369530526,346913000,287331000
AnnexOneReduce,United Kingdom,GBR,241930,56121,1295057046000,0.0385,638631409,554139000,570219000
AnnexOneSustain,Russia,RUS,16377742,1218599,241602206300,-0.0481,1640627840,1511270000,2220721000
AnnexOneSustain,Ukraine,UKR,579330,324791,35917739710,-0.0342,389910792,328637000,641681000
CanadaAgent,Canada,CAN,9093507,415573,570647163100,0.0385,624237946,478881000,450077000
NonAnnexOne,Bangladesh,BGD,130168,74173,41059359190,0.0534,41741221,24041000,15533000
NonAnnexOne,Cyprus,CYP,9241,999,8806286089,0.0498,6798937,6641000,4653000
NonAnnexOne,Iran,IRN,1531595,160001,103410043700,0.0285,318764527,316176000,227185000
USAgent,United States,USA,9161966,1650062,8741000000000,0.0492,6329769336,5449078000,4879376000
